name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Jalen Jones,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,188,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7,22.1.2018
T.J. McConnell,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1651,2,7,1,2,2,2,1,5,3,0,0,4,4,1.6,22.1.2018
Salah Mejri,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,576,1,2,0,0,0,2,4,0,1,0,1,2,2,1.6,22.1.2018
Chris McCullough,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,272,0,1,0,0,1,2,0,0,1,0,1,0,0,1.3,22.1.2018
Isaiah Taylor,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,267,0,0,0,0,0,0,0,0,3,0,0,0,2,1.3,22.1.2018
Justin Jackson,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,LOSS,1198,2,6,0,1,0,0,0,2,1,0,0,0,2,1.1,22.1.2018
Sindarius Thornwell,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1135,1,3,0,0,0,0,0,5,0,1,1,2,1,1.1,22.1.2018
Andrew Harrison,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,1375,2,7,0,0,0,0,0,0,1,0,1,0,1,0.9,22.1.2018
Donovan Mitchell,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1892,5,13,2,5,1,2,0,6,0,0,0,6,1,0.9,22.1.2018
Josh Jackson,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,633,2,6,0,3,2,4,0,1,0,0,0,0,4,0.5,22.1.2018
Tony Snell,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1236,1,3,0,2,0,0,0,0,0,1,0,0,2,0.5,22.1.2018
Matthew Dellavedova,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1483,0,3,0,1,0,0,0,3,6,0,0,1,4,0.4,22.1.2018
Ian Clark,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,906,1,3,0,1,0,0,0,0,1,0,0,0,2,0.2,22.1.2018
Thon Maker,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,570,1,3,0,0,1,2,1,0,0,0,1,1,3,0.1,22.1.2018
